hashtag,link,label
travelvlog,https://www.tiktok.com/@mailanmeomeo/video/7522407131241286920,not_harmful
tarotreading,https://www.tiktok.com/@witchofthebritish/video/7568543802260999446,harmful
garden,https://www.tiktok.com/@salamaazizahh/video/7491242628806184199,not_harmful
vape,https://www.tiktok.com/@cici.tresce/video/7310760386058308870,harmful
diy,https://www.tiktok.com/@hoai_decor/video/7290557832427048197,not_harmful
food,https://www.tiktok.com/@funny_yuki628/video/7298608004503457056,not_harmful
cat,https://www.tiktok.com/@iamrigbycat/video/7569738074020793630,not_harmful
flirt,https://www.tiktok.com/@en1og/video/7231103065850514689,harmful
bóc_phốt,https://www.tiktok.com/@homeofdprian/video/7569633206345927957,harmful
dog,https://www.tiktok.com/@phuclam.phan/video/7554949752715087111,not_harmful
diy,https://www.tiktok.com/@alinefrancaoficiau/video/7285760231987105029,not_harmful
reviewphim,https://www.tiktok.com/@anhreviewphim24/video/7545352528590933255,not_harmful
coding,https://www.tiktok.com/@emma.strienko/video/7515860595594513682,not_harmful
drama,https://www.tiktok.com/@dramaboxshorts/video/7541249920129420562,harmful
reading,https://www.tiktok.com/@jacob_rtt/video/7265723356597521697,not_harmful
bay_lắc,https://www.tiktok.com/@dthquangngai.mcv/video/7297086629884284162,harmful
congnghe,https://www.tiktok.com/@fptshop_mc01hungvuong/video/7558518740560776466,not_harmful
selfcare,https://www.tiktok.com/@mialicewu/video/7567164475577601310,not_harmful
reviewphim,https://www.tiktok.com/@review.phim7775/video/7505373971802524946,not_harmful
flirt,https://www.tiktok.com/@ckm4205/video/7549588242874633503,harmful
nhaycam,https://www.tiktok.com/@ggs68taiwan.official/video/7237461925469097222,harmful
lifehack,https://www.tiktok.com/@crafty_fixer_/video/7529835789631442198,not_harmful
toxic,https://www.tiktok.com/@geabobea/video/7426774409928559903,harmful
fashion,https://www.tiktok.com/@meikimm3/video/7472563217403743496,not_harmful
reactiondrama,https://www.tiktok.com/@rabiah0262/video/7569182922318548232,harmful
dog,https://www.tiktok.com/@sanchezdubonsgmail.com/video/7555718547419254024,not_harmful
drama,https://www.tiktok.com/@sbsnow_official/video/7470696206633536775,harmful
hầu_đồng,https://www.tiktok.com/@tyha2000/video/7373682465140952336,harmful
family,https://www.tiktok.com/@usernyein267/video/7431548855583362311,not_harmful
bóc_phốt,https://www.tiktok.com/@mitt.ju.oii/video/7511654066284449031,harmful
car,https://www.tiktok.com/@autocar119/video/7560188039767674129,not_harmful
quotes,https://www.tiktok.com/@goccuareiko/video/7352932374964964615,not_harmful
nature,https://www.tiktok.com/@bed.bug/video/7369683673169268014,not_harmful
gianghomang,https://www.tiktok.com/@gianghomang247/video/7551326218373647632,harmful
reading,https://www.tiktok.com/@pasal_english/video/7229718907353894150,not_harmful
travel,https://www.tiktok.com/@coralxlaura/video/7423478484514721056,not_harmful
volunteer,https://www.tiktok.com/@min121514/video/7569763464374209799,not_harmful
plant,https://www.tiktok.com/@starrr_fyre/video/7363677307837467946,not_harmful
garden,https://www.tiktok.com/@kyphongvn/video/7569049937900490002,not_harmful
gai18,https://www.tiktok.com/@phng.hng2195/video/7528761373816327432,harmful
selfcare,https://www.tiktok.com/@cami_kana/video/7497508042016115976,not_harmful
bói_toán,https://www.tiktok.com/@nhinguyenvpbs/video/7543069081390402823,harmful
drunk,https://www.tiktok.com/@mr.wang559/video/7559759721004109064,harmful
motivation,https://www.tiktok.com/@dao_depchai215/video/7567990496069602568,not_harmful
fitness,https://www.tiktok.com/@intensityfit_1/video/7531746070586608903,not_harmful
shockcontent,https://www.tiktok.com/@allcutiepets/video/7212843799230483758,harmful
superstition,https://www.tiktok.com/@miss_lisa_lopez/video/7545201781093977357,harmful
funny,https://www.tiktok.com/@haveaniceday610/video/7568072949589085447,not_harmful
pet,https://www.tiktok.com/@cpc_petcare/video/7553511287448145170,not_harmful
gáixinh,https://www.tiktok.com/@tieubaobao001/video/7244020349229124870,harmful
flirt,https://www.tiktok.com/@alice.cattok/video/7528144049962749206,harmful
quotes,https://www.tiktok.com/@ken.billie/video/7398354745729142024,not_harmful
healthy,https://www.tiktok.com/@mc.hienvinh/video/7184007944743243034,not_harmful
toxic,https://www.tiktok.com/@bd82__/video/7564307517749120277,harmful
darkhumor,https://www.tiktok.com/@adridominique/video/7086799540812090629,harmful
đánh_nhau,https://www.tiktok.com/@vtvcab.xahoi/video/7509719065125047560,harmful
ancungtiktok,https://www.tiktok.com/@tzuize/video/7512331046554324231,not_harmful
drunk,https://www.tiktok.com/@notjennymaryjane/video/7526080556749114631,harmful
selfcare,https://www.tiktok.com/@olaaxdiary/video/7535870648216718614,not_harmful
fitness,https://www.tiktok.com/@bee_gym/video/7489772283242827014,not_harmful
sachhay,https://www.tiktok.com/@sachhay.moingay3/video/7566084466771414280,not_harmful
fitness,https://www.tiktok.com/@jahazielrod18/video/7569528923424443678,not_harmful
smoking,https://www.tiktok.com/@rrengganispp/video/7460608725200456966,harmful
review,https://www.tiktok.com/@tunauan68/video/7470476360775994631,not_harmful
nature,https://www.tiktok.com/@l0nelysoul0/video/7545469157597334815,not_harmful
prankgonewrong,https://www.tiktok.com/@funnycontent840/video/7569688856493165846,harmful
funny,https://www.tiktok.com/@2.0dizzbg/video/7565732843578526983,not_harmful
đòi_nợ,https://www.tiktok.com/@haivothotvai/video/6920911323136101633,harmful
gai18,https://www.tiktok.com/@gaixinh78999/video/7229191430336564486,harmful
healthy,https://www.tiktok.com/@tthhealthyfood/video/7204487090841603354,not_harmful
garden,https://www.tiktok.com/@glamorgardenvn/video/7237319948496899333,not_harmful
lừa_đảo,https://www.tiktok.com/@kenh14.teklife/video/7208491995306659073,harmful
alcohol,https://www.tiktok.com/@project_halloween25/video/7568249817210637582,harmful
makeup,https://www.tiktok.com/@makeupchamcham/video/7560965955971484946,not_harmful
healthy,https://www.tiktok.com/@justtrainph/video/7390288888872422674,not_harmful
hầu_đồng,https://www.tiktok.com/@chiling_06/video/7556113120951831815,harmful
music,https://www.tiktok.com/@tymusic_08/video/7534322325571915026,not_harmful
flirt,https://www.tiktok.com/@babyvforreal/video/7160739044018752773,harmful
psychic,https://www.tiktok.com/@guidedcrystalist/video/7549976619318807821,harmful
đòi_nợ,https://www.tiktok.com/@tictok.2o/video/7555166610042981644,harmful
garden,https://www.tiktok.com/@miklachangbeo/video/7506105542222433542,not_harmful
study,https://www.tiktok.com/@tuilaselena_/video/7569836186051677461,not_harmful
game,https://www.tiktok.com/@oanhxinh_22/video/7476089740790336775,not_harmful
comedy,https://www.tiktok.com/@kenyanchrisbrown/video/7563663044006481207,not_harmful
makeup,https://www.tiktok.com/@audremadison/video/7557019274104065287,not_harmful
travel,https://www.tiktok.com/@xhengtey/video/7557727442656349458,not_harmful
nhaycam,https://www.tiktok.com/@miedayy_antibactik/video/7243277840769174790,harmful
healthy,https://www.tiktok.com/@dark.health/video/7534413743229275423,not_harmful
bói_bài,https://www.tiktok.com/@p.anh2277/video/7276844859955105025,harmful
lừa_đảo,https://www.tiktok.com/@vtv24news/video/7495419794255023367,harmful
podchill,https://www.tiktok.com/@lanngocpod/video/7562020179056528660,harmful
environment,https://www.tiktok.com/@toannguyen9114/video/7319129123463515410,not_harmful
art,https://www.tiktok.com/@ichika1_/video/7545344404312100103,not_harmful
diy,https://www.tiktok.com/@tuntunstationery/video/7532690595970682119,not_harmful
congnghe,https://www.tiktok.com/@ltelectronicscomponents/video/7506455355585613078,not_harmful
inspiration,https://www.tiktok.com/@reacap19/video/7568645442918010120,not_harmful
meditation,https://www.tiktok.com/@calmstudios25/video/7494663345920822583,not_harmful
family,https://www.tiktok.com/@tavera.8/video/7219970331707002139,not_harmful
fashion,https://www.tiktok.com/@phiyenkhongphaiphiin/video/7504195197920775432,not_harmful
ancungtiktok,https://www.tiktok.com/@vimai997/video/7515270449811557639,not_harmful
bóc_phốt,https://www.tiktok.com/@nur20903/video/7256758460925136134,harmful
streetfight,https://www.tiktok.com/@campeonesdeayeryhoy/video/7213402462294674693,harmful
ancungtiktok,https://www.tiktok.com/@cap.cap_tv/video/7531427115678453010,not_harmful
environment,https://www.tiktok.com/@juns1515/video/7557626264161504530,not_harmful
family,https://www.tiktok.com/@khanhthiphanhien/video/7343563248991522050,not_harmful
nauan,https://www.tiktok.com/@futhaicooking/video/7563998902500789522,not_harmful
environment,https://www.tiktok.com/@xuansongxanhmc1710/video/7428981803827989767,not_harmful
travel,https://www.tiktok.com/@hansulittlespace/video/7569298184078429447,not_harmful
coding,https://www.tiktok.com/@andrewcodesmith/video/7569270992829173014,not_harmful
comedy,https://www.tiktok.com/@peasantcomedy/video/7564631432937737486,not_harmful
shockcontent,https://www.tiktok.com/@atomlightningyt/video/7448792061584755969,harmful
thuycung,https://www.tiktok.com/@linh_tripify/video/7568781446740053255,not_harmful
review,https://www.tiktok.com/@nhungdieunhobehayho/video/7544973762471464200,not_harmful
hầu_đồng,https://www.tiktok.com/@phuong25022004/video/7563301552946171154,harmful
sexy,https://www.tiktok.com/@leonarvaez468/video/7557782242794147079,harmful
bói_bài,https://www.tiktok.com/@sonxemqueboibai.revew/video/7505664058020859154,harmful
smoking,https://www.tiktok.com/@es_me8/video/7561033237657701652,harmful
drama,https://www.tiktok.com/@lalimondulceee/video/7263612630953102598,harmful
volunteer,https://www.tiktok.com/@hamid.0705/video/7533256211957927175,not_harmful
weirdchallenge,https://www.tiktok.com/@philippleonofficial/video/7075362178123025670,harmful
meditation,https://www.tiktok.com/@aurora.intus/video/7462342259137154327,not_harmful
congnghe,https://www.tiktok.com/@dongthuu_/video/7549940364623269127,not_harmful
motivation,https://www.tiktok.com/@motivationalcoach4/video/7549917431280504070,not_harmful
reading,https://www.tiktok.com/@thao.tit_/video/7549908338918591752,not_harmful
lừa_đảo,https://www.tiktok.com/@t.h.a.o.7/video/7485395231827840274,harmful
congnghe,https://www.tiktok.com/@congnghengaymai/video/7233818579789958406,not_harmful
plant,https://www.tiktok.com/@diaa_fr/video/7567543079884885270,not_harmful
lifehack,https://www.tiktok.com/@taphoachichchoe/video/7508679023828946183,not_harmful
scandal,https://www.tiktok.com/@editsvp4u/video/7515573683293900074,harmful
inspiration,https://www.tiktok.com/@ainspire7/video/7559280011241327890,not_harmful
plant,https://www.tiktok.com/@plant9058/video/7553623675057065230,not_harmful
pet,https://www.tiktok.com/@funnypet.vne/video/7210927498090024235,not_harmful
giadinh,https://www.tiktok.com/@31th7n2014/video/7518036836053224712,not_harmful
volunteer,https://www.tiktok.com/@.th.mi15/video/7544291403333930258,not_harmful
comedy,https://www.tiktok.com/@hausa.comedy/video/7567485114591087884,not_harmful
motivation,https://www.tiktok.com/@noctrenze/video/7422767366464867602,not_harmful
lừa_đảo,https://www.tiktok.com/@.chaomanon/video/7281928004203285767,harmful
diy,https://www.tiktok.com/@anthocyia7n/video/7314193907355602206,not_harmful
bói_toán,https://www.tiktok.com/@halien2812/video/7012568800767855899,harmful
book,https://www.tiktok.com/@tambiet.toi.cuaquakhu/video/7215540350742547739,not_harmful
gáixinh,https://www.tiktok.com/@chancomthemphogai/video/7471890349414305042,harmful
drunk,https://www.tiktok.com/@sokora._.wa/video/7510466239987272978,harmful
đòi_nợ,https://www.tiktok.com/@suckhoethanhhien/video/7563920535848013074,harmful
tarotreading,https://www.tiktok.com/@tarotmynga/video/7567738595734277383,harmful
thuycung,https://www.tiktok.com/@lanhbelle/video/7488180874173877510,not_harmful
podchill,https://www.tiktok.com/@minhduc47/video/7556957265404644615,harmful
environment,https://www.tiktok.com/@ai_ishikawa_1108jh/video/7569822412187913480,not_harmful
diy,https://www.tiktok.com/@tuntunstationery/video/7554212040110296338,not_harmful
comedy,https://www.tiktok.com/@jerryrawilde/video/7543247633507274006,not_harmful
superstition,https://www.tiktok.com/@greg_fountaine/video/7369241934285557025,harmful
sachhay,https://www.tiktok.com/@sachcungtamchanh/video/7567749611306142997,not_harmful
dog,https://www.tiktok.com/@always_winnie/video/7521040008678018310,not_harmful
recipe,https://www.tiktok.com/@hescooks/video/7427415470627769605,not_harmful
đòi_nợ,https://www.tiktok.com/@congtymuabannobacnam/video/7566248151682698503,harmful
reviewphim,https://www.tiktok.com/@auaudouyin/video/7525681227303603463,not_harmful
troll,https://www.tiktok.com/@lamhoanganh1993/video/7565545303126936853,harmful
healthy,https://www.tiktok.com/@chonanxsl/video/7550700888344562952,not_harmful
ancungtiktok,https://www.tiktok.com/@hanjiun/video/7565886271608933652,not_harmful
inspiration,https://www.tiktok.com/@inspiration99746/video/7466220768834129174,not_harmful
congnghe,https://www.tiktok.com/@congnghe.blogtamsu/video/7569156563206753552,not_harmful
bói_toán,https://www.tiktok.com/@xemtuongso_caongoctan/video/6926459674048875778,harmful
fortuneteller,https://www.tiktok.com/@mountainmurmurs1/video/7569931891122375966,harmful
inspiration,https://www.tiktok.com/@aimadness369/video/7371069598768106794,not_harmful
fashion,https://www.tiktok.com/@the.t.studio/video/7565029572190686471,not_harmful
inspiration,https://www.tiktok.com/@bigger_mentality/video/7200185993461255466,not_harmful
diy,https://www.tiktok.com/@tuntunstationery/video/7557924390860623122,not_harmful
toxic,https://www.tiktok.com/@anti_seleb.official/video/7272016870125964550,harmful
weirdchallenge,https://www.tiktok.com/@ashlaurentz/video/7261055786980232490,harmful
motivation,https://www.tiktok.com/@force.of.progres/video/7565802654937681154,not_harmful
diy,https://www.tiktok.com/@crafthack00/video/7480757105977249070,not_harmful
phóng_lợn,https://www.tiktok.com/@ng_phong_99/video/7226658536191692037,harmful
hầu_đồng,https://www.tiktok.com/@dieuminhchau11111/video/7144582640467856667,harmful
family,https://www.tiktok.com/@janrose1128_ccedits/video/7428420066326154514,not_harmful
motivation,https://www.tiktok.com/@dank.motivation/video/7495509218422689030,not_harmful
sport,https://www.tiktok.com/@juliatoller_/video/7505460500101156101,not_harmful
nauan,https://www.tiktok.com/@nhu_phi_phi/video/7533869748799442183,not_harmful
car,https://www.tiktok.com/@colby_cars/video/7568863473342385421,not_harmful
healthy,https://www.tiktok.com/@vysongkhoe/video/7567739190360771860,not_harmful
gianghomang,https://www.tiktok.com/@taychuoichien2k2/video/7435889411960655120,harmful
garden,https://www.tiktok.com/@tuangarden/video/7341036013420137748,not_harmful
tech,https://www.tiktok.com/@fl.cho947/video/7559068735592549639,not_harmful
fashion,https://www.tiktok.com/@rumseven/video/7540636909031279880,not_harmful
toxic,https://www.tiktok.com/@dphongg_04/video/7561073392623914261,harmful
plant,https://www.tiktok.com/@sowansawangan/video/7524742816300387640,not_harmful
tech,https://www.tiktok.com/@trapusoder/video/7556840677313613063,not_harmful
environment,https://www.tiktok.com/@lengocthang26/video/7202630476627053850,not_harmful
bay_lắc,https://www.tiktok.com/@minhanh0662/video/7544709316993994002,harmful
nhaycam,https://www.tiktok.com/@anhvo11l1/video/7084589906915380507,harmful
game,https://www.tiktok.com/@bocobo161/video/7542123231642258696,not_harmful
comedy,https://www.tiktok.com/@mister.best.entertaiment/video/7559494424892312854,not_harmful
shockcontent,https://www.tiktok.com/@viralgreenscreenhub/video/7467330373098278176,harmful
volunteer,https://www.tiktok.com/@ku.kue08/video/7552761719404186887,not_harmful
hầu_đồng,https://www.tiktok.com/@haibangmoon1610/video/7553257335670492434,harmful
sport,https://www.tiktok.com/@mongtuyen_running/video/7530878337091194119,not_harmful
cat,https://www.tiktok.com/@catsmemoir/video/7541811094713552158,not_harmful
thuthach,https://www.tiktok.com/@yan45giay/video/7566567090920934663,harmful
fitness,https://www.tiktok.com/@regina000060/video/7494211632793472276,not_harmful
travelvlog,https://www.tiktok.com/@manhhaofficial/video/7513151182752238856,not_harmful
meditation,https://www.tiktok.com/@nancyy_boots/video/7562280304124103943,not_harmful
congnghe,https://www.tiktok.com/@vivivi7949/video/7230613126629084422,not_harmful
congnghe,https://www.tiktok.com/@tao247_iphone_danang/video/7487209114049957126,not_harmful
vape,https://www.tiktok.com/@noniquennisa215/video/7242153342154067205,harmful
ancungtiktok,https://www.tiktok.com/@ancungtikto/video/7035782758156881153,not_harmful
pet,https://www.tiktok.com/@hien_reviewgiadung/video/7566854319551646997,not_harmful
meditation,https://www.tiktok.com/@yoganda33/video/7484219151502871830,not_harmful
congnghe,https://www.tiktok.com/@vanthang15_09_2007/video/7533770709978467602,not_harmful
nhaycam,https://www.tiktok.com/@beatvn_official/video/7491541425880861959,harmful
darkhumor,https://www.tiktok.com/@arvyn_.1/video/7512590340239412511,harmful
smoking,https://www.tiktok.com/@livewallpaperresolution/video/7550920949592345876,harmful
bói_bài,https://www.tiktok.com/@teabaitay/video/7474220007719718162,harmful
bạo_lực,https://www.tiktok.com/@designmyslides/video/7517218921712241921,harmful
mê_tín_dị_đoan,https://www.tiktok.com/@sutodongminh/video/7561434545816440085,harmful
superstition,https://www.tiktok.com/@nonawav/video/7517854491870268685,harmful
reviewphim,https://www.tiktok.com/@nguyenquynh123321/video/7569686028944985365,not_harmful
nature,https://www.tiktok.com/@firda_bbx/video/7409513180243791109,not_harmful
environment,https://www.tiktok.com/@lovedrawings8179/video/7378872610106428680,not_harmful
funny,https://www.tiktok.com/@indayjoannaaa/video/7565669496288005383,not_harmful
bóc_phốt,https://www.tiktok.com/@photmayconl6/video/7544990685158558984,harmful
motivation,https://www.tiktok.com/@motivationalcoach4/video/7541386909092728069,not_harmful
bullying,https://www.tiktok.com/@mar4lovers__/video/7509354858265316616,harmful
makeup,https://www.tiktok.com/@makeup4u6/video/7567669731042413831,not_harmful
mê_tín_dị_đoan,https://www.tiktok.com/@vuthao162/video/7446359623583485192,harmful
superstition,https://www.tiktok.com/@bmbnjam19/video/7542576569060003086,harmful
seductive,https://www.tiktok.com/@jungha.0/video/7146250763432430854,harmful
environment,https://www.tiktok.com/@tripm99/video/7569235274983755015,not_harmful
environment,https://www.tiktok.com/@ppointforyah/video/7278724790481898770,not_harmful
garden,https://www.tiktok.com/@sushi_roblox02/video/7507893998527368466,not_harmful
meditation,https://www.tiktok.com/@tran_healingoflight/video/7531688198364335368,not_harmful
art,https://www.tiktok.com/@hongnhungg98/video/7487195267754675462,not_harmful
diy,https://www.tiktok.com/@hoai_decor/video/7563672514392591623,not_harmful
garden,https://www.tiktok.com/@khchichuche/video/7564797040467676434,not_harmful
motivation,https://www.tiktok.com/@nghevangam987/video/7513933780244040976,not_harmful
drunk,https://www.tiktok.com/@blameitonxi/video/7569560124159692039,harmful
phóng_lợn,https://www.tiktok.com/@chipigaming97/video/7069702394476645659,harmful
chửi_thề,https://www.tiktok.com/@thay_luongvanhuy/video/7564718702738869511,harmful
reading,https://www.tiktok.com/@ielts.advantage0/video/7561662237451078920,not_harmful
fitness,https://www.tiktok.com/@jennyfitness2114/video/7279253950388292866,not_harmful
food,https://www.tiktok.com/@yummy2282/video/7340253846393949483,not_harmful
diy,https://www.tiktok.com/@ortexsnews/video/7233436766949215515,not_harmful
diy,https://www.tiktok.com/@diyqueens15/video/7362509053228109098,not_harmful
tech,https://www.tiktok.com/@shoz_gg/video/7560224539666402568,not_harmful
sport,https://www.tiktok.com/@learnngrow23/video/7325279537271557419,not_harmful
xem_bói,https://www.tiktok.com/@tamlinh.vanhoa/video/7325678008054877442,harmful
motivation,https://www.tiktok.com/@balto005/video/7263123306293775621,not_harmful
coding,https://www.tiktok.com/@minhng.info/video/7561649305040342279,not_harmful
giadinh,https://www.tiktok.com/@findpeace003/video/7529091978194062600,not_harmful
fashion,https://www.tiktok.com/@nguyennana.2006/video/7254483003798277382,not_harmful
kiss,https://www.tiktok.com/@lovely__1230/video/7485372296815725840,harmful
scam,https://www.tiktok.com/@shopacc79_uytinso1/video/7451435043031043374,harmful
fitness,https://www.tiktok.com/@fitnessbroz/video/7560269465347165462,not_harmful
nature,https://www.tiktok.com/@sovviikk/video/7370585943083994373,not_harmful
travel,https://www.tiktok.com/@ddaaru/video/7562448854671445255,not_harmful
review,https://www.tiktok.com/@dimarkvn/video/7489420878917258551,not_harmful
scam,https://www.tiktok.com/@thienngabongdemm/video/7568009240485416199,harmful
body,https://www.tiktok.com/@entertainment8686/video/7299007132471446791,harmful
thethao,https://www.tiktok.com/@24h.sports/video/7558749256912227591,not_harmful
game,https://www.tiktok.com/@apkfami/video/7569156890505104661,not_harmful
flirt,https://www.tiktok.com/@timschaecker/video/7151811431573245189,harmful
comedy,https://www.tiktok.com/@sabrina_treffiletti/video/7512808799057480978,not_harmful
pet,https://www.tiktok.com/@nhasenshi2017/video/7473094322708139271,not_harmful
fight,https://www.tiktok.com/@user9904632455517/video/7545891651831467295,harmful
fakenews,https://www.tiktok.com/@freenbecca/video/7566249529817763073,harmful
car,https://www.tiktok.com/@sav.edits001/video/7569203911270190358,not_harmful
flirt,https://www.tiktok.com/@trez.kenz/video/7533219398761368845,harmful
prankgonewrong,https://www.tiktok.com/@jometv/video/7559169247914511624,harmful
recipe,https://www.tiktok.com/@xuanxemhuongnoi/video/7356272014807616784,not_harmful
gọi_hồn,https://www.tiktok.com/@nemmovie/video/7568404457248034068,harmful
comedy,https://www.tiktok.com/@_awaisgujjar01/video/7569500380648721686,not_harmful
phóng_lợn,https://www.tiktok.com/@lxd2001/video/7050697528102128898,harmful
travel,https://www.tiktok.com/@vulamquayphim/video/7569468078262734088,not_harmful
plant,https://www.tiktok.com/@bestleadus/video/7387213129891024170,not_harmful
drunk,https://www.tiktok.com/@spidermanholland/video/6902173637357407489,harmful
bullying,https://www.tiktok.com/@bullying143/video/7220972914961566994,harmful
gọi_hồn,https://www.tiktok.com/@_melone0208/video/7548399351513550088,harmful
lừa_đảo,https://www.tiktok.com/@tranhoa0027/video/7222649219012758811,harmful
bói_toán,https://www.tiktok.com/@nguyenhoa.7792/video/7379570620775812368,harmful
travel,https://www.tiktok.com/@hong.cong.nguyen/video/7532872758246640903,not_harmful
giadinh,https://www.tiktok.com/@hang_tay12/video/7369835407195901200,not_harmful
trippy,https://www.tiktok.com/@visionblendx/video/7460633943470116128,harmful
recipe,https://www.tiktok.com/@thezachchoi/video/7352239230279585066,not_harmful
phóng_lợn,https://www.tiktok.com/@phvntrung/video/7234425493758512390,harmful
bói_bài,https://www.tiktok.com/@ginger.lenormand/video/7538025533628501266,harmful
plant,https://www.tiktok.com/@plant9058/video/7559185024197610765,not_harmful
fashion,https://www.tiktok.com/@s.spenx.x/video/7525422361298930962,not_harmful
weirdchallenge,https://www.tiktok.com/@rambofamily/video/6916648125566307590,harmful
diy,https://www.tiktok.com/@dobeodayne/video/7563669917137145106,not_harmful
fashion,https://www.tiktok.com/@hansunhope5114/video/7556226552401235217,not_harmful
funny,https://www.tiktok.com/@lordofmeme2004/video/7569562102508145942,not_harmful
scandal,https://www.tiktok.com/@whotfisaleahnicole/video/7494146861960367366,harmful
recipe,https://www.tiktok.com/@halo.spice/video/7405347430524292394,not_harmful
darkhumor,https://www.tiktok.com/@alldayposts31/video/7557073864237272333,harmful
comedy,https://www.tiktok.com/@losifamilycomdey6/video/7559827175726173458,not_harmful
food,https://www.tiktok.com/@zinzinnn2003/video/7540284109122391316,not_harmful
game,https://www.tiktok.com/@gamepark77/video/7565357366712028446,not_harmful
đánh_nhau,https://www.tiktok.com/@10a1_khongsomotaii/video/7556942855101533461,harmful
thuycung,https://www.tiktok.com/@ltct_264/video/7554358890951888146,not_harmful
meditation,https://www.tiktok.com/@rain.mindys/video/7538035635005738248,not_harmful
đòi_nợ,https://www.tiktok.com/@ngoradio/video/7560341631551933713,harmful
plant,https://www.tiktok.com/@gardentu/video/7509663628212079880,not_harmful
fortuneteller,https://www.tiktok.com/@eastern.metaphysician/video/7538434584095051030,harmful
environment,https://www.tiktok.com/@ngoainguquoctri/video/7236755664419196165,not_harmful
chửi,https://www.tiktok.com/@cauvong29/video/7567382545776577813,harmful
prankgonewrong,https://www.tiktok.com/@theyluvv.kiyarah/video/7520236213593230598,harmful
flirt,https://www.tiktok.com/@textphase/video/7528826745902894358,harmful
ghosthunting,https://www.tiktok.com/@hunchoent22/video/7567873685261012237,harmful
nature,https://www.tiktok.com/@sandeshbastakoti1/video/7569584645961043221,not_harmful
tech,https://www.tiktok.com/@huahuutoan/video/7557695279403781397,not_harmful
family,https://www.tiktok.com/@tffamilygen04/video/7453334121218100486,not_harmful
bói_toán,https://www.tiktok.com/@readstation_htk/video/7462178252199562504,harmful
kiss,https://www.tiktok.com/@miaxfilo/video/7544089418454306070,harmful
hầu_đồng,https://www.tiktok.com/@codonglinhtenten07/video/7564638390864432402,harmful
travel,https://www.tiktok.com/@haidangjp/video/7536383698749410568,not_harmful
book,https://www.tiktok.com/@lumara.book/video/7566336999867551031,not_harmful
alcohol,https://www.tiktok.com/@msdami/video/7396025469537209633,harmful
18plus,https://www.tiktok.com/@saiya266/video/7548851281406823701,harmful
recipe,https://www.tiktok.com/@patiispage/video/7305797297982524705,not_harmful
reading,https://www.tiktok.com/@_stranger.things.edits6/video/6936492028117241093,not_harmful
environment,https://www.tiktok.com/@nhachaychobe.ci/video/7473363168551636240,not_harmful
music,https://www.tiktok.com/@tietzi209/video/7568442514634509586,not_harmful
thethao,https://www.tiktok.com/@cuctdttvietnam/video/7538880516393602311,not_harmful
plant,https://www.tiktok.com/@thnh.cng3637/video/7560167077617683730,not_harmful
tech,https://www.tiktok.com/@tungnguyen336688/video/7525291980704845064,not_harmful
thuthach,https://www.tiktok.com/@huu.phucc/video/7426044676437806344,harmful
scam,https://www.tiktok.com/@quynhquantu8/video/7541738890420342024,harmful
pet,https://www.tiktok.com/@koa.the.gsp2/video/7435801978438946090,not_harmful
